full_name,external_appeal_score
peternest/hh-inspect,0.335
wooluo/vuln_crawler,0.37500000000000006
wooluo/watch0day,0.43999999999999995
WeepingDogel/matrix-historian,0.335
HZBHZB1234/LCTA-Limbus-company-transfer-auto,0.3
john-friedman/datamule-data,0.37500000000000006
adamprime/comiccaster,0.36
dsccccc/clashfree,0.3
NSPC911/rovr,0.43000000000000005
V2RAYCONFIGSPOOL/V2RAY_SUB,0.37
ShamsParvezArka/fleury-theme.el,0.335
indmdev/Telegram-Store-MiniApp,0.37
peers-labs/peers-touch,0.335
dubefab/obsidian-TerraFlow,0.37
Nyabsi/OpenFps,0.37
ide-an/nijigta-livers-map,0.335
spydisec/spydithreatintel,0.37
xiaochanghai/eu.admin,0.34
juspay/neurolink,0.595
SeniorMatt/Matthew-s-NixOS,0.335
hatayama/uLoopMCP,0.405
cocopuff2u/BOFA,0.37
imrightguy/CloudToLocalLLM,0.395
sayhiben/theblop,0.36
Yebingiscn/SweetVideo,0.37
ararog/deboa,0.4175
rogsme/yams,0.42999999999999994
vishnuroshan/zed-react-ts-snippets,0.41000000000000003
mytv-android/BRTV-Live-M3U8,0.34
qljsyph/ruleset-icon,0.37500000000000006
sinavm/sinavm,0.37
Kolandone/v2raycollector,0.335
DerDavidBohl/dirigent-spring,0.395
maccmsapp/iptv,0.37500000000000006
InkCanvasForClass/community,0.43000000000000005
galihru/MentalHealth,0.395
vmheaven/VMHeaven-Free-Proxy-Updated,0.37
RemiaCS/Window-Tweaks,0.37
Tamzk/Rebel-OtpBot-Twillo-Bypass-Paypal-2fa-80-Country-Usa,0.41000000000000003
AYssu/fast-scan,0.335
relizaio/rearm,0.405
galihru/facemind,0.37
xiv3r/top-github-users-ranking,0.34
sebastian-mutz/fsml,0.37
ToolerofLight/myfiles,0.3
galihru/galihru.github.io,0.3
markomijic/TTS-Mod-Vault,0.36
AyGemuy/wudyver,0.405
galihru/hbd,0.37
Its-Nyein/shadcn-admin,0.37
WaspScripts/WaspLib,0.46499999999999997
imohammedh/Notevo,0.37
li1lli1/xuejimao-video-cut,0.335
The-AI-Alliance/llama-stack-examples,0.4875
trio666/proxy-checker,0.37
iasakura/lean-yjs,0.37
smartscripts-nl/dynamic-xray,0.37
lonerOrz/loneros-nixos,0.37
poetaster/arduinoMI,0.335
RustNSparks/rocm-rs,0.335
anzhiyu-c/anheyu-app-frontend,0.37500000000000006
NikhilRout/TheGEMMCoreProject,0.37
bzggnveee/There-is-nothing-here,0.34
Belphemur/night-routine,0.37
niksedk/subtitleedit-avalonia,0.34750000000000003
prateekrajput08/Arcade-Google-Cloud-Labs,0.34
isw866/iptv,0.30500000000000005
vlang/gui,0.42999999999999994
gfpcom/free-proxy-list,0.46499999999999997
wmigor/godot-aircraft-plugin,0.3
