full_name,code_health_score
leafyin/game-help-script,34.43465933225445
mapterhorn/mapterhorn,45.296803279912595
codelion/pts,41.5908331599646
hxabcd/easiauto,37.19480642193152
hackclub/nephthys,33.12220953399897
Elwinmage/ha-reefbeat-component,41.10025485574654
juspay/clairvoyance,30.49659343910147
carl0smat3us/undetected,26.772378295099188
MagiclabRobotics/magicbot-gen1_description,26.772378295099188
flyingbitac/fly_in_docker,26.772378295099188
FBruzzesi/anyschema,46.901539394655444
hahahafeifeifei/PIGA,27.772378295099188
AnInsomniacy/tracknet-series-pytorch,48.04935885079398
ViStoryBench/vistorybench,43.948956985816366
jaimebarran/spotify-latest-episodes,38.29067317253392
ELXaber/chaos-persona,40.025946940509144
fishros/fprotocol,36.085665890399454
peternest/hh-inspect,27.772378295099188
wooluo/vuln_crawler,33.36366590335386
wooluo/watch0day,32.45553543008347
WeepingDogel/matrix-historian,26.772378295099188
HZBHZB1234/LCTA-Limbus-company-transfer-auto,27.772378295099188
john-friedman/datamule-data,34.43465933225445
adamprime/comiccaster,41.65839698816076
dsccccc/clashfree,26.772378295099188
NSPC911/rovr,41.851273983886934
V2RAYCONFIGSPOOL/V2RAY_SUB,21.474971718441267
ShamsParvezArka/fleury-theme.el,27.929261483385673
indmdev/Telegram-Store-MiniApp,37.68635675064397
peers-labs/peers-touch,28.627316030136495
dubefab/obsidian-TerraFlow,8.398058252427184
Nyabsi/OpenFps,44.18934299643707
ide-an/nijigta-livers-map,44.01867637019414
spydisec/spydithreatintel,40.330324276355114
xiaochanghai/eu.admin,40.82336528041756
juspay/neurolink,32.71209379388855
SeniorMatt/Matthew-s-NixOS,28.829296021607654
hatayama/uLoopMCP,51.27840908922415
cocopuff2u/BOFA,27.647813205449875
imrightguy/CloudToLocalLLM,29.022384922619246
sayhiben/theblop,28.725360584652343
Yebingiscn/SweetVideo,50.16890815336731
ararog/deboa,56.223188723680785
rogsme/yams,32.298685657014126
vishnuroshan/zed-react-ts-snippets,26.873517145347233
mytv-android/BRTV-Live-M3U8,15.455181955770378
qljsyph/ruleset-icon,21.734174273578546
sinavm/sinavm,13.255662503708402
Kolandone/v2raycollector,22.21564339182499
DerDavidBohl/dirigent-spring,40.089534130203155
maccmsapp/iptv,16.100996247279806
InkCanvasForClass/community,33.54682667888014
galihru/MentalHealth,18.83002441164971
vmheaven/VMHeaven-Free-Proxy-Updated,23.140792807025402
RemiaCS/Window-Tweaks,23.24975495302269
Tamzk/Rebel-OtpBot-Twillo-Bypass-Paypal-2fa-80-Country-Usa,26.406249376523363
AYssu/fast-scan,19.71661217284171
relizaio/rearm,46.66168058643487
galihru/facemind,29.55004355173019
xiv3r/top-github-users-ranking,23.902115013146105
sebastian-mutz/fsml,32.02634886202645
ToolerofLight/myfiles,23.50268914642779
galihru/galihru.github.io,4.0
markomijic/TTS-Mod-Vault,40.32736133892965
AyGemuy/wudyver,34.03896348825734
galihru/hbd,22.75458336892671
Its-Nyein/shadcn-admin,44.238466944779994
WaspScripts/WaspLib,16.941162310666215
imohammedh/Notevo,39.415048196172194
li1lli1/xuejimao-video-cut,22.261615608066464
The-AI-Alliance/llama-stack-examples,20.870289712953834
trio666/proxy-checker,10.722221836092093
iasakura/lean-yjs,23.38589923818033
