full_name,maintenance_efficiency_score
keekyslusus/SteamFlow,60.55
analyticsinmotion/werx,60.55
plsy1/epg,60.55
eliranwong/agentmake,64.1
leafyin/game-help-script,61.599999999999994
mapterhorn/mapterhorn,63.1
codelion/pts,57.1
hxabcd/easiauto,60.55
hackclub/nephthys,56.900000000000006
Elwinmage/ha-reefbeat-component,59.599999999999994
juspay/clairvoyance,55.599999999999994
carl0smat3us/undetected,60.55
MagiclabRobotics/magicbot-gen1_description,60.55
flyingbitac/fly_in_docker,57.599999999999994
FBruzzesi/anyschema,57.349999999999994
hahahafeifeifei/PIGA,59.599999999999994
AnInsomniacy/tracknet-series-pytorch,65.35
ViStoryBench/vistorybench,57.1
jaimebarran/spotify-latest-episodes,60.9
ELXaber/chaos-persona,57.599999999999994
fishros/fprotocol,60.55
peternest/hh-inspect,60.55
wooluo/vuln_crawler,57.599999999999994
wooluo/watch0day,57.599999999999994
WeepingDogel/matrix-historian,58.099999999999994
HZBHZB1234/LCTA-Limbus-company-transfer-auto,60.55
john-friedman/datamule-data,57.599999999999994
adamprime/comiccaster,55.599999999999994
dsccccc/clashfree,60.55
NSPC911/rovr,60.3
V2RAYCONFIGSPOOL/V2RAY_SUB,65.35
ShamsParvezArka/fleury-theme.el,63.599999999999994
indmdev/Telegram-Store-MiniApp,63.7
peers-labs/peers-touch,57.599999999999994
dubefab/obsidian-TerraFlow,57.599999999999994
Nyabsi/OpenFps,63.599999999999994
ide-an/nijigta-livers-map,57.599999999999994
spydisec/spydithreatintel,58.599999999999994
xiaochanghai/eu.admin,63.599999999999994
juspay/neurolink,59.5
SeniorMatt/Matthew-s-NixOS,57.599999999999994
hatayama/uLoopMCP,64.65
cocopuff2u/BOFA,58.599999999999994
imrightguy/CloudToLocalLLM,55.3
sayhiben/theblop,56.3
Yebingiscn/SweetVideo,64.3
ararog/deboa,61.599999999999994
rogsme/yams,64.3
vishnuroshan/zed-react-ts-snippets,61.599999999999994
mytv-android/BRTV-Live-M3U8,55.599999999999994
qljsyph/ruleset-icon,61.599999999999994
sinavm/sinavm,59.599999999999994
Kolandone/v2raycollector,55.599999999999994
DerDavidBohl/dirigent-spring,58.150000000000006
maccmsapp/iptv,55.599999999999994
InkCanvasForClass/community,55.599999999999994
galihru/MentalHealth,55.599999999999994
vmheaven/VMHeaven-Free-Proxy-Updated,55.599999999999994
RemiaCS/Window-Tweaks,59.599999999999994
Tamzk/Rebel-OtpBot-Twillo-Bypass-Paypal-2fa-80-Country-Usa,60.099999999999994
AYssu/fast-scan,57.599999999999994
relizaio/rearm,61.150000000000006
galihru/facemind,65.35
xiv3r/top-github-users-ranking,59.599999999999994
sebastian-mutz/fsml,61.55
ToolerofLight/myfiles,55.599999999999994
galihru/galihru.github.io,57.599999999999994
markomijic/TTS-Mod-Vault,57.599999999999994
AyGemuy/wudyver,63.599999999999994
galihru/hbd,56.8
Its-Nyein/shadcn-admin,58.849999999999994
WaspScripts/WaspLib,55.599999999999994
imohammedh/Notevo,58.099999999999994
li1lli1/xuejimao-video-cut,55.599999999999994
The-AI-Alliance/llama-stack-examples,59.599999999999994
trio666/proxy-checker,55.599999999999994
iasakura/lean-yjs,57.599999999999994
smartscripts-nl/dynamic-xray,63.599999999999994
lonerOrz/loneros-nixos,59.599999999999994
poetaster/arduinoMI,63.599999999999994
RustNSparks/rocm-rs,63.599999999999994
anzhiyu-c/anheyu-app-frontend,59.599999999999994
NikhilRout/TheGEMMCoreProject,59.849999999999994
bzggnveee/There-is-nothing-here,55.599999999999994
Belphemur/night-routine,63.599999999999994
niksedk/subtitleedit-avalonia,63.599999999999994
prateekrajput08/Arcade-Google-Cloud-Labs,63.599999999999994
isw866/iptv,57.599999999999994
vlang/gui,64.3
gfpcom/free-proxy-list,64.3
wmigor/godot-aircraft-plugin,63.599999999999994
zzq1234567890/epg,57.599999999999994
Axthauvin/epitrace-packs,62.8
ivsemenkov/EEGSimpleNet,57.599999999999994
loonghao/vx,57.599999999999994
interp-reasoning/thought-anchors.com,56.8
DNATechByNaldoDJ/fw.webex,65.7
Kone457/Shizuka-AI,56.8
abusaeeidx/CricHd-playlists-Auto-Update-permanent,63.599999999999994
RavenHogWarts/obsidian-ace-code-editor,59.599999999999994
Sage-77/V2ray-configs,55.599999999999994
wsdjeg/nvim-config,57.599999999999994
hypervel/components,59.599999999999994
SukkaLab/ruleset.skk.moe,57.599999999999994
luo-ross/MultiVerseKit,57.599999999999994
FlavorfulGecko5/EntityAtlan,58.400000000000006
taolson/Admiran,57.599999999999994
xcontcom/xcontcom,55.599999999999994
Glaube-TY/siyuan-homepage,63.599999999999994
Rushikeshnimkar/portfolio2025,62.849999999999994
Iteranya/anita-cms,63.599999999999994
FLYCOM-E/ClearBox,63.599999999999994
chrisdoc/hevy-mcp,67.35
tastetastetaste/musictaste,63.599999999999994
giantswarm/muster,56.8
96flashbacks/showfloor,63.599999999999994
theajmalrazaq/superflex,62.8
Cybermonit/RSS-Feed,55.599999999999994
klsdf/GreenResourcesManager,57.599999999999994
JAG-GW/GwAu3,57.599999999999994
sevcator/5ubscrpt10n,56.8
vfan/go-web-mvc,58.8
syrianzone/syrianzone,59.599999999999994
vonajs/vona,58.849999999999994
ohkami-rs/sqlx-d1,63.599999999999994
Yorick-Ryu/deep-share,60.599999999999994
RinLit-233-shiroko/Class-Widgets-2,59.599999999999994
santawho/oeffi-ng,56.400000000000006
eWloYW8/ZJU-classroom-stream,59.599999999999994
pkgforge-community/AM-HF-SYNC,55.599999999999994
sendmebits/ghostmail-ios,57.599999999999994
spzbrnmrc/Tiny-Vedas,57.599999999999994
Rink37/BOBJECT_engine,56.400000000000006
handeveloper1/Proxy,55.599999999999994
kmontag/macher,64.3
Monochrome-Inc/ZombiePanic-HL,60.400000000000006
m-bwela/m-bwela,55.599999999999994
BossSloth/SteamHunter-plugin,59.599999999999994
xiaoniucode/etp,58.400000000000006
voocel/mas,58.8
Luiz-Alcantara/Neural-Pixel,64.85
spongebob888/shadowquic,64.3
DefiTuna/tuna-sdk,57.599999999999994
xsSplater/Darktide_Enhanced_Descriptions_BETA,57.599999999999994
skyline69/balatro-mod-index,64.3
Glauedson/Glauedson,56.099999999999994
FidelityFramework/Firefly,59.349999999999994
NekoNyangYee/taehyun-blog-renewal,55.75
michelinus/api,60.95
sakura-talk-kingdum/sakurabot,61.45
growingio/design-system,62.55
tigerbeetle/devhubdb,61.75
garylin0969/trend-scraper,61.75
henrryqr/portafolio-programacion-numerica-2025,63.5
flarom/cohesion,58.0
kissenpvp/Pulvinar,61.75
Setout8/Book-Pen-Book,64.3
turgut090/traffic,61.75
zonary123/CobbleUtils,60.55
jabbott-iii/Udemy-Portfolio-Projects,62.55
MrAbolfazlNorouzi/iran-configs,58.8
gomlet674/G-MON-Hub,61.75
guess/claude_code,58.8
manyeyes/ManySpeech,63.599999999999994
EduJonathan/aprendendoCpp,62.55
nschainblatt/sicp,61.75
atopos31/llmio,64.3
O0111lqczeadxws/rss-scanner,61.75
aruljohn/crypto-prices,63.5
FireStar0507/BingWallpaper,61.75
soui4/swinx,62.55
cdilga/multiplayer-racer,62.7
yihad168/tv,58.8
AdeelWajid/iptv_validated_list,58.8
codeby-umar/codeby-umar,62.8
Karankoli17/LoveConfessionSite,60.95
alantang1977/aTV,61.75
zeldrisho/scoop-bucket,61.75
kandeng/blender_python_tutorial,61.75
opedromartinss/cotacoes-cafe,61.75
indmdev/Free-Telegram-Store-Bot,63.599999999999994
davidfue/RIF-Layoff-Dataset,59.75
CodaBool/stargazer,54.949999999999996
tablackburn/ScheduledTasksManager,55.75
vizoros/peer,62.55
cardenluo/ComfyUI-Apt_Preset,64.3
BA-CalderonMorales/my-life-as-a-dev,63.05
yanghui1-arch/mwin,61.75
RaydenLabs/genisys-data,61.75
SecondOrder-fun/sof-alpha,55.699999999999996
media-stack/gb2b-lead-finder,61.75
wavey0x/open-data,61.75
HAPPY-script/BLOX_FRUIT,61.75
Eyefyre/NYT-Connections-Answers,60.8
angelistaxin/auto-commit-angelistaxin-60s,59.75
nakulmitra/nakulmitra,59.75
ethan-yz-hao/github-stats,62.55
win-wiz/emoji-click,61.75
KeckObservatory/mKTL,62.55
d0midigi/hackherway,61.75
daniel7grant/time,62.55
harys722/github-daily-autocommit,61.75
TencentCloudBase/CloudBase-AI-ToolKit,64.3
soenneker/soenneker.extensions.httprequests,62.55
sss97133/nuke,55.75
indmdev/indmshopbot,58.8
fryagbye/tinderboxwithquarto,62.55
XStrikers/Discord-Bot,61.45
ACANX/MavenArtifact,53.75
adcontextprotocol/adcp,60.8
fraudiay79/strm,55.75
Wen-Xi-Goh/taxi-locations,61.75
bigbeartechworld/big-bear-universal-apps,55.75
tuxracer/matrix-fediverse-bridge,56.25
marajadesantelmo/dassa_operativo_stream,59.5
bigdargon/hostsVN-DeadDomainsLinter,62.55
pw56/web-puri-project,55.75
markvaaz/ScarletCore,61.75
xx25/perestroikabbs,61.75
Kanamo2525/prompt101,61.75
dpangestuw/Free-Proxy,59.5
ichenc/ichenc.github.io,62.55
AnterCreeper/pdaltmode,61.75
theneworacle/theneworacle.github.io,55.75
008Amonra/45dgof8_ComplianceSuite,62.55
cloudplains/jnsj,55.75
tscibilia/home-ops,61.5
prototbh/TEMP,62.55
malcolmramirez/supercollider,61.75
RuningFastChack/auto-bangumi,62.55
MangaBoya/mangaboya-nsfw,56.8
haoboww/RFGENS,61.75
bioinfo-gao/Python_Omics_DS,61.75
bettermyself/ai_learn,53.75
ya950/Agu-analysis,61.75
coder/mux,60.3
yanivsun/PushPaper,62.1
seehasung/SHS_Product_DB,61.75
yuler/rails-starter,57.75
BazilSuhail/Custom-Compiler,62.55
dmarx/papers-feed,57.75
GaiaEyesHQ/gaiaeyes-media,59.75
cjchandler/last_update_repo,62.55
bq2015/FreeProxies,64.3
andykimpe1/andykimpe1.github.io,61.75
bq2015/FreeProxies,64.3
andykimpe1/andykimpe1.github.io,61.75
743859910/AdGuard_Home_Official-built-in_Rules,62.55
noworneverev/leetcode-api,59.599999999999994
pixperk/chug,60.0
tyang816/tyang816,61.75
twitOne/RPZ-Blocklists,60.5
jhelvy/potus-econ-scorecard,60.95
Dvd848/wiki-game,62.55
nebula-site/nebula-site.github.io,62.55
pstAmbition/DailyArXiv_Multimodal,55.75
MSCoreLab/BYU-Core-MS-Lab,63.5
saveas446/LegacyBuilder,62.5
