full_name,community_vitality_score
plsy1/epg,31.582523606519686
eliranwong/agentmake,40.42090617300333
leafyin/game-help-script,7.529782563805808
mapterhorn/mapterhorn,42.79819546872389
codelion/pts,46.246227315594155
hxabcd/easiauto,20.251464129982402
hackclub/nephthys,33.36664851422019
Elwinmage/ha-reefbeat-component,40.186926732526786
juspay/clairvoyance,43.250832393378744
carl0smat3us/undetected,15.409394084781011
MagiclabRobotics/magicbot-gen1_description,15.764027371733167
flyingbitac/fly_in_docker,1.8408634715193621
FBruzzesi/anyschema,29.37493644076279
hahahafeifeifei/PIGA,16.840863471519363
AnInsomniacy/tracknet-series-pytorch,25.204462583795262
ViStoryBench/vistorybench,42.71949788654861
jaimebarran/spotify-latest-episodes,21.173129521738673
ELXaber/chaos-persona,32.22190474400183
fishros/fprotocol,19.658838459648436
peternest/hh-inspect,26.076836099786195
wooluo/vuln_crawler,29.117922405599135
wooluo/watch0day,31.72864969039479
WeepingDogel/matrix-historian,17.60489084325253
HZBHZB1234/LCTA-Limbus-company-transfer-auto,15.0
john-friedman/datamule-data,26.648362132561807
adamprime/comiccaster,28.36388143231345
dsccccc/clashfree,16.076836099786195
NSPC911/rovr,53.89293278583696
V2RAYCONFIGSPOOL/V2RAY_SUB,30.60693119209646
ShamsParvezArka/fleury-theme.el,25.240176086215047
indmdev/Telegram-Store-MiniApp,34.83078200143404
peers-labs/peers-touch,21.747401415789497
dubefab/obsidian-TerraFlow,27.852590327874225
Nyabsi/OpenFps,32.55246356761064
ide-an/nijigta-livers-map,23.357179671933075
spydisec/spydithreatintel,37.08701139594835
xiaochanghai/eu.admin,26.216189440150124
juspay/neurolink,69.06527511249818
SeniorMatt/Matthew-s-NixOS,25.590135508401264
hatayama/uLoopMCP,46.5176003576333
cocopuff2u/BOFA,32.51142878752266
imrightguy/CloudToLocalLLM,43.682422683765
sayhiben/theblop,35.7654765749343
Yebingiscn/SweetVideo,40.41295543658156
ararog/deboa,43.25675303616394
rogsme/yams,40.90090867617642
vishnuroshan/zed-react-ts-snippets,41.2460724887072
mytv-android/BRTV-Live-M3U8,23.80257102036813
qljsyph/ruleset-icon,29.296793776306103
sinavm/sinavm,31.922168396704585
Kolandone/v2raycollector,25.635498105756483
DerDavidBohl/dirigent-spring,36.05797440168414
maccmsapp/iptv,27.488687287517468
InkCanvasForClass/community,53.794103513582115
galihru/MentalHealth,39.07954288725292
vmheaven/VMHeaven-Free-Proxy-Updated,36.63061069286543
RemiaCS/Window-Tweaks,32.51142878752266
Tamzk/Rebel-OtpBot-Twillo-Bypass-Paypal-2fa-80-Country-Usa,39.27718397959529
AYssu/fast-scan,32.45472316292559
relizaio/rearm,44.047860222244594
galihru/facemind,40.97585064564967
xiv3r/top-github-users-ranking,26.78739012710692
sebastian-mutz/fsml,36.616438924992984
ToolerofLight/myfiles,8.997658972089864
galihru/galihru.github.io,17.621505112498447
markomijic/TTS-Mod-Vault,28.67235121661315
AyGemuy/wudyver,27.593382763825698
galihru/hbd,28.065168119215286
Its-Nyein/shadcn-admin,35.75355330132865
WaspScripts/WaspLib,32.56062319586911
imohammedh/Notevo,38.38229180175071
li1lli1/xuejimao-video-cut,26.17939204918529
The-AI-Alliance/llama-stack-examples,43.949263885504955
trio666/proxy-checker,28.44521599820819
iasakura/lean-yjs,34.447374622840826
smartscripts-nl/dynamic-xray,35.966547481201765
lonerOrz/loneros-nixos,28.065168119215286
poetaster/arduinoMI,30.544006995638977
RustNSparks/rocm-rs,14.62597741264543
anzhiyu-c/anheyu-app-frontend,31.948969774483988
NikhilRout/TheGEMMCoreProject,35.1025559493991
bzggnveee/There-is-nothing-here,10.854790295045827
Belphemur/night-routine,33.145089237944596
niksedk/subtitleedit-avalonia,25.811201930308922
prateekrajput08/Arcade-Google-Cloud-Labs,22.991631988829972
isw866/iptv,11.664976401807724
vlang/gui,40.12110400042306
gfpcom/free-proxy-list,52.78335532219875
wmigor/godot-aircraft-plugin,5.014305521762494
zzq1234567890/epg,15.735986118418786
Axthauvin/epitrace-packs,24.830782001434038
ivsemenkov/EEGSimpleNet,18.44521599820819
loonghao/vx,25.996561790310075
interp-reasoning/thought-anchors.com,25.102555949399097
DNATechByNaldoDJ/fw.webex,36.86650243007763
Kone457/Shizuka-AI,26.234838174038728
abusaeeidx/CricHd-playlists-Auto-Update-permanent,48.38954102939472
RavenHogWarts/obsidian-ace-code-editor,37.42747291502806
Sage-77/V2ray-configs,44.06450141906917
wsdjeg/nvim-config,25.753553301328648
hypervel/components,48.70427303646853
SukkaLab/ruleset.skk.moe,16.003450496439832
luo-ross/MultiVerseKit,22.207318785043825
FlavorfulGecko5/EntityAtlan,21.95997920713055
taolson/Admiran,32.95654906711607
xcontcom/xcontcom,33.58826488730885
Glaube-TY/siyuan-homepage,28.600946855098293
Rushikeshnimkar/portfolio2025,38.50583987332708
Iteranya/anita-cms,36.4472746555259
FLYCOM-E/ClearBox,24.393327039129993
chrisdoc/hevy-mcp,52.320724562545
tastetastetaste/musictaste,32.29136445584227
giantswarm/muster,37.082465532258766
96flashbacks/showfloor,38.34626527578213
theajmalrazaq/superflex,37.011760944534416
Cybermonit/RSS-Feed,21.478403529891985
klsdf/GreenResourcesManager,18.92942642766042
JAG-GW/GwAu3,17.407967695777405
sevcator/5ubscrpt10n,43.858079176895636
vfan/go-web-mvc,8.104054457856623
syrianzone/syrianzone,34.76449830537625
vonajs/vona,35.64170615016928
ohkami-rs/sqlx-d1,41.08663276202632
Yorick-Ryu/deep-share,40.613353337870734
RinLit-233-shiroko/Class-Widgets-2,37.72073887087234
santawho/oeffi-ng,36.17859119007398
eWloYW8/ZJU-classroom-stream,22.82423751557569
pkgforge-community/AM-HF-SYNC,20.24649310981436
sendmebits/ghostmail-ios,28.16278500788768
spzbrnmrc/Tiny-Vedas,39.239514862104855
Rink37/BOBJECT_engine,38.1937503952596
handeveloper1/Proxy,27.621505112498447
kmontag/macher,44.78689466622484
Monochrome-Inc/ZombiePanic-HL,33.887691626300594
m-bwela/m-bwela,7.824237515575691
BossSloth/SteamHunter-plugin,22.892579039191652
xiaoniucode/etp,44.42856556256478
voocel/mas,37.10863940852457
Luiz-Alcantara/Neural-Pixel,28.687923588777227
spongebob888/shadowquic,44.46667749679783
DefiTuna/tuna-sdk,13.505839873327083
xsSplater/Darktide_Enhanced_Descriptions_BETA,13.329925022309178
skyline69/balatro-mod-index,64.8036762488949
Glauedson/Glauedson,36.40623987543793
FidelityFramework/Firefly,34.877678778436106
NekoNyangYee/taehyun-blog-renewal,44.11457214366801
michelinus/api,41.36204646611214
sakura-talk-kingdum/sakurabot,33.612012087637005
growingio/design-system,17.438882565898332
tigerbeetle/devhubdb,22.690346695880738
garylin0969/trend-scraper,44.68914012219871
henrryqr/portafolio-programacion-numerica-2025,31.36204646611214
flarom/cohesion,49.78433538147655
kissenpvp/Pulvinar,17.438882565898332
Setout8/Book-Pen-Book,81.32484941803858
turgut090/traffic,17.438882565898332
zonary123/CobbleUtils,30.912715192051557
jabbott-iii/Udemy-Portfolio-Projects,31.36204646611214
MrAbolfazlNorouzi/iran-configs,36.33318730027812
gomlet674/G-MON-Hub,16.36204646611214
guess/claude_code,53.65039207274286
manyeyes/ManySpeech,53.31519810223245
EduJonathan/aprendendoCpp,31.36204646611214
nschainblatt/sicp,16.36204646611214
atopos31/llmio,72.60842087771393
O0111lqczeadxws/rss-scanner,16.36204646611214
aruljohn/crypto-prices,31.36204646611214
FireStar0507/BingWallpaper,31.36204646611214
soui4/swinx,28.146204313034424
cdilga/multiplayer-racer,31.36204646611214
yihad168/tv,33.78256003879627
AdeelWajid/iptv_validated_list,32.31775299781873
codeby-umar/codeby-umar,29.434029241186835
Karankoli17/LoveConfessionSite,16.36204646611214
alantang1977/aTV,22.097721025546775
zeldrisho/scoop-bucket,45.25685755402741
kandeng/blender_python_tutorial,32.43888256589833
opedromartinss/cotacoes-cafe,16.36204646611214
indmdev/Free-Telegram-Store-Bot,72.5863951073172
davidfue/RIF-Layoff-Dataset,32.43888256589833
CodaBool/stargazer,17.16710861793328
tablackburn/ScheduledTasksManager,32.16710861793328
vizoros/peer,37.53517598785081
cardenluo/ComfyUI-Apt_Preset,63.21532231569253
BA-CalderonMorales/my-life-as-a-dev,42.43888256589833
yanghui1-arch/mwin,31.36204646611214
RaydenLabs/genisys-data,32.43888256589833
SecondOrder-fun/sof-alpha,32.16710861793328
media-stack/gb2b-lead-finder,31.36204646611214
