,community_vitality_score
559,36.34379265067045
560,63.20073374613806
561,32.502484124053225
562,18.527367146012015
563,45.27811622433427
564,72.99990729598679
565,51.42266457356954
566,60.30158616572377
567,39.19274967570351
568,55.27811622433427
569,42.969035925932346
570,45.14322764908387
571,50.652837600564695
572,46.705021103697646
573,81.36960612420667
574,37.23378709737884
575,54.410995215882735
576,53.86138318763389
577,72.95827842702394
578,34.45985407149441
579,33.00047357571843
580,30.223224226278774
581,63.537092930322345
582,46.5163167388954
583,66.27852991072464
584,69.71612855643187
585,23.675937672153697
586,73.47795966945701
587,66.2304950837432
588,36.81152907394746
589,48.270299398830254
590,55.345960055857425
591,58.656432899818746
592,58.54254781845281
593,63.826090577994314
594,47.7586314191121
595,51.397376014191536
596,47.7586314191121
597,36.81152907394746
598,66.72146287055699
599,55.5944876644986
600,41.43680769771706
601,53.85729003032238
602,67.41650934688644
603,47.03146534271794
604,45.33517341001426
605,43.35198904408228
606,63.20073374613806
607,64.3544198510636
608,57.11304725761159
609,54.65190814068916
610,56.42553223979719
611,77.84035058832401
612,45.10372483723543
613,79.33477530456537
614,52.41647157323581
615,51.26241631061822
616,55.511353142343694
617,53.90807620639365
618,44.949740484886604
619,46.80866641077149
620,72.90868073410479
621,46.182369745640756
622,43.957947596292385
623,58.82399508378
624,70.27659351125298
625,42.16397377411121
626,66.34464926892989
627,54.14467833306547
628,55.944683375423644
629,50.47905821613786
630,41.89765689129396
631,68.48885720232835
632,58.1678203701848
633,49.12772739931513
634,61.4050874465999
635,71.31363477076398
636,30.6576054026645
637,51.88015777581721
638,36.88827811501527
639,45.879228315941674
640,21.81152907394746
641,68.71135807196151
642,49.99655689485644
643,45.07416616412054
644,43.859161011755376
645,60.34950780712386
646,53.84696138750084
647,33.97692899483854
648,36.84178210233567
649,41.8042496092846
650,59.203486984099605
651,77.3188086017782
652,52.899859042336196
653,50.0649651931878
654,68.67018981522494
655,51.89765689129396
656,47.11304725761159
657,47.11304725761159
658,58.0780524220175
659,76.02289523919032
660,64.78467167785251
661,44.49414612718191
662,32.84150910627012
663,56.604553421863685
664,77.38573736544967
665,77.2752116287772
666,61.622135398764215
667,50.30587811799423
668,47.23378709737884
669,59.864036600274176
670,77.26844172244834
671,40.10242481720474
672,32.85109828443228
673,70.29999789067617
674,59.360068699383106
675,58.092399071436866
676,80.13531511782298
677,50.51918213481223
678,37.03146534271794
679,75.93337865655535
680,58.5588764152132
681,56.26711525438757
682,48.32136522746329
683,38.538936592858455
684,63.47401458251738
685,46.8557739355884
686,49.518215087898
687,57.59544547328817
688,48.56227815226972
689,50.97822027754425
690,44.71408239595239
691,25.969944715809568
692,46.15302928646176
693,54.537207825516575
694,59.10279537735992
695,55.8450097337557
696,62.853926609846724
697,67.21227543075497
698,48.54254781845281
699,68.2989700345211
700,75.8050347397984
701,37.062953475234146
